"Story","Title","Result","Date","Stability","Duration (s)"
"Validate login positive functionality","Validate that the user is able to Login","SUCCESS","2021-08-30T11:55:59.6761369+05:30[Asia/Calcutta]","0.0","0.24"
"Validate login positive functionality","Validate that the user is navigated to Landing page on clicking the Log out option","SUCCESS","2021-08-30T11:55:59.9237225+05:30[Asia/Calcutta]","0.0","0.26"
"Verify the header page positive scenarios","Validate that the mpowered health logo/hamburger in the header","SUCCESS","2021-08-30T11:56:00.1900562+05:30[Asia/Calcutta]","0.0","0.41"
"Validation on Utilities page negative test cases","Navigate to Utilities screen","SUCCESS","2021-08-30T11:56:01.6479833+05:30[Asia/Calcutta]","0.0","0.24"
"Validation on Utilities page negative test cases","Verify that click on all the Tiles in the Utilities dashboard","SUCCESS","2021-08-30T11:56:01.8980751+05:30[Asia/Calcutta]","0.0","0.24"
"Validation on Utilities page negative test cases","Add bank details  in the Wallet dashboard","SUCCESS","2021-08-30T11:56:02.1689892+05:30[Asia/Calcutta]","0.0","0.23"
"Validation on Utilities page negative test cases","Check deactivate tab","SUCCESS","2021-08-30T11:56:02.4114417+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Award Points Page","Validate navigation to award points page","SUCCESS","2021-08-30T11:56:02.5599411+05:30[Asia/Calcutta]","0.0","0.49"
"Validation on Award Points Page","Verify the validation message on entering amount more than the available amount in ""Redeem Award Points"" page","SUCCESS","2021-08-30T11:56:03.0613238+05:30[Asia/Calcutta]","0.0","0.36"
"Validation on Award Points Page","Validate the validation message on entering amount less than the available amount in ""Redeem Award Points"" page","SUCCESS","2021-08-30T11:56:03.425842+05:30[Asia/Calcutta]","0.0","0.23"
"Validation on Award Points Page","Unable to click on the 'Redeem' button on leaving the field 'Select a gift card' blank""","SUCCESS","2021-08-30T11:56:03.6625722+05:30[Asia/Calcutta]","0.0","0.01"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate navigation to utility page","SUCCESS","2021-08-30T11:56:03.7004729+05:30[Asia/Calcutta]","0.0","0.25"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate Tile ""Award Points""in the Utilities dashboard","SUCCESS","2021-08-30T11:56:03.9578165+05:30[Asia/Calcutta]","0.0","0.23"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate the Redeem points  in the Award points dashboard.","SUCCESS","2021-08-30T11:56:04.1939778+05:30[Asia/Calcutta]","0.0","0.15"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate the navigation to the redeemed page","SUCCESS","2021-08-30T11:56:04.3476505+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Home Page","Validate that the user is able to Login with valid data","SUCCESS","2021-08-30T11:56:04.3887374+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Home Page","Validate that the user is in Home page","SUCCESS","2021-08-30T11:56:04.4044997+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Home Page","Validate that the user is navigated to the Second Opinion page on clicking 'Request for second opinion' button","SUCCESS","2021-08-30T11:56:04.5546785+05:30[Asia/Calcutta]","0.0","0.25"
"Validation on Home Page","Validate that the user is navigated to the  Refer a friend page on clicking 'Refer a friend' button","SUCCESS","2021-08-30T11:56:04.8115797+05:30[Asia/Calcutta]","0.0","2.26"
